schema,study_id,schedule_id,block_id,block_index,order_position,backend,world_id,site_family,world_split,world_bundle,world_sdf,world_name,start_id,start_x_m,start_y_m,start_yaw_rad,truth_map_yaml,truth_registration_id,truth_to_map_x_m,truth_to_map_y_m,truth_to_map_yaw_rad,method,runtime_adapter,strategy,coverage_objective,clearance_weight,travel_cost_weight,condition,replicate_seed,randomization_seed,max_duration_s,max_distance_m,max_decisions,goal_timeout_s,run_output_dir,evidence_tier,formal_result_eligible,eligibility_reasons,source_tree_sha256,world_bundle_sha256,world_sdf_sha256,method_config_sha256,condition_config_sha256,shared_stack_sha256,world_registry_sha256,run_config_sha256
sstg_system_sim_run_schedule/v2,gazebo_unknown_completion_office_v12_20260802,gazebo_unknown_completion_office_v12_20260802__dev_office_01__start_southwest__nominal__seed_311__order_01__rrt_adapted,gazebo_unknown_completion_office_v12_20260802__dev_office_01__start_southwest__nominal__seed_311,1,1,gazebo_harmonic,dev_office_01,multi_room_office,development,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01/world.sdf,dev_office_01,start_southwest,-6.5,-4.5,0,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01/evaluation/truth_map.yaml,dev_office_01:start_southwest:inverse_spawn_pose,6.5,4.5,0,rrt_adapted,sstg_policy,rrt,joint,1.5,0.59999999999999998,nominal,311,20260802,1800,300,80,180,system_sim_outputs/unknown_completion/runs/gazebo_unknown_completion_office_v12_20260802/gazebo_unknown_completion_office_v12_20260802__dev_office_01__start_southwest__nominal__seed_311__order_01__rrt_adapted,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:ans_adapted:unknown_completion_development_adapter|method_not_formal_eligible:ans_adapted|method_not_frozen:frontier:development_adapter|method_not_formal_eligible:frontier|method_not_frozen:nbv:development_adapter|method_not_formal_eligible:nbv|method_not_frozen:rrt_adapted:development_adapter|method_not_formal_eligible:rrt_adapted|method_not_frozen:sstg:frozen_from_procedural_benchmark_for_development|world_not_test_split:dev_office_01:development|world_not_formal_eligible:dev_office_01|source_paths_dirty,5bc6a676811540426fbde682bd772e63ad9c3a81508e7226d09011fac90409b8,f2a92c4f4f87106b7c05aa0d7257f2dc1f444dd0893f066b240131c3f75e0ddf,1e84f9cb4637b2a85b67b86b0f6a7cd9c0a50942434681337bb19cfd86087d0d,fc688ed00e2f400111b78bccd9e51522eda43264fa539d2c0d8d490c1300e761,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,ee5fe0fae8a151dd588e167578ca02c1a5d827d993f51dd86554a665842b10b3,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,a4d15ae4109c1746d99ff550f97c0beb2dafbcd90139e01a16333a8e182bcd4d
sstg_system_sim_run_schedule/v2,gazebo_unknown_completion_office_v12_20260802,gazebo_unknown_completion_office_v12_20260802__dev_office_01__start_southwest__nominal__seed_311__order_02__ans_adapted,gazebo_unknown_completion_office_v12_20260802__dev_office_01__start_southwest__nominal__seed_311,1,2,gazebo_harmonic,dev_office_01,multi_room_office,development,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01/world.sdf,dev_office_01,start_southwest,-6.5,-4.5,0,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01/evaluation/truth_map.yaml,dev_office_01:start_southwest:inverse_spawn_pose,6.5,4.5,0,ans_adapted,sstg_policy,ans,joint,1.5,0.59999999999999998,nominal,311,20260802,1800,300,80,180,system_sim_outputs/unknown_completion/runs/gazebo_unknown_completion_office_v12_20260802/gazebo_unknown_completion_office_v12_20260802__dev_office_01__start_southwest__nominal__seed_311__order_02__ans_adapted,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:ans_adapted:unknown_completion_development_adapter|method_not_formal_eligible:ans_adapted|method_not_frozen:frontier:development_adapter|method_not_formal_eligible:frontier|method_not_frozen:nbv:development_adapter|method_not_formal_eligible:nbv|method_not_frozen:rrt_adapted:development_adapter|method_not_formal_eligible:rrt_adapted|method_not_frozen:sstg:frozen_from_procedural_benchmark_for_development|world_not_test_split:dev_office_01:development|world_not_formal_eligible:dev_office_01|source_paths_dirty,5bc6a676811540426fbde682bd772e63ad9c3a81508e7226d09011fac90409b8,f2a92c4f4f87106b7c05aa0d7257f2dc1f444dd0893f066b240131c3f75e0ddf,1e84f9cb4637b2a85b67b86b0f6a7cd9c0a50942434681337bb19cfd86087d0d,c7fc068d175524c76fd8995cb3e804de927c377eb7a1b971a858fb9d54322dce,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,ee5fe0fae8a151dd588e167578ca02c1a5d827d993f51dd86554a665842b10b3,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,6abbdf18f9e28ec7bef852d412047ec3f63741b619fee49dd5432080633a500d
sstg_system_sim_run_schedule/v2,gazebo_unknown_completion_office_v12_20260802,gazebo_unknown_completion_office_v12_20260802__dev_office_01__start_southwest__nominal__seed_311__order_03__frontier,gazebo_unknown_completion_office_v12_20260802__dev_office_01__start_southwest__nominal__seed_311,1,3,gazebo_harmonic,dev_office_01,multi_room_office,development,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01/world.sdf,dev_office_01,start_southwest,-6.5,-4.5,0,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01/evaluation/truth_map.yaml,dev_office_01:start_southwest:inverse_spawn_pose,6.5,4.5,0,frontier,sstg_policy,frontier,joint,1.5,0.59999999999999998,nominal,311,20260802,1800,300,80,180,system_sim_outputs/unknown_completion/runs/gazebo_unknown_completion_office_v12_20260802/gazebo_unknown_completion_office_v12_20260802__dev_office_01__start_southwest__nominal__seed_311__order_03__frontier,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:ans_adapted:unknown_completion_development_adapter|method_not_formal_eligible:ans_adapted|method_not_frozen:frontier:development_adapter|method_not_formal_eligible:frontier|method_not_frozen:nbv:development_adapter|method_not_formal_eligible:nbv|method_not_frozen:rrt_adapted:development_adapter|method_not_formal_eligible:rrt_adapted|method_not_frozen:sstg:frozen_from_procedural_benchmark_for_development|world_not_test_split:dev_office_01:development|world_not_formal_eligible:dev_office_01|source_paths_dirty,5bc6a676811540426fbde682bd772e63ad9c3a81508e7226d09011fac90409b8,f2a92c4f4f87106b7c05aa0d7257f2dc1f444dd0893f066b240131c3f75e0ddf,1e84f9cb4637b2a85b67b86b0f6a7cd9c0a50942434681337bb19cfd86087d0d,1283b50e7dbaff41256c0a0e3dbcbceb8ca5646d4fe31f9d2a17bc7a4a9a8eab,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,ee5fe0fae8a151dd588e167578ca02c1a5d827d993f51dd86554a665842b10b3,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,163ada2b9a2f950a0c1aa0222a64a7952ffc8e1bb46279a58345ac474e82982b
sstg_system_sim_run_schedule/v2,gazebo_unknown_completion_office_v12_20260802,gazebo_unknown_completion_office_v12_20260802__dev_office_01__start_southwest__nominal__seed_311__order_04__sstg,gazebo_unknown_completion_office_v12_20260802__dev_office_01__start_southwest__nominal__seed_311,1,4,gazebo_harmonic,dev_office_01,multi_room_office,development,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01/world.sdf,dev_office_01,start_southwest,-6.5,-4.5,0,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01/evaluation/truth_map.yaml,dev_office_01:start_southwest:inverse_spawn_pose,6.5,4.5,0,sstg,sstg_policy,sstg,joint,1.5,0.59999999999999998,nominal,311,20260802,1800,300,80,180,system_sim_outputs/unknown_completion/runs/gazebo_unknown_completion_office_v12_20260802/gazebo_unknown_completion_office_v12_20260802__dev_office_01__start_southwest__nominal__seed_311__order_04__sstg,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:ans_adapted:unknown_completion_development_adapter|method_not_formal_eligible:ans_adapted|method_not_frozen:frontier:development_adapter|method_not_formal_eligible:frontier|method_not_frozen:nbv:development_adapter|method_not_formal_eligible:nbv|method_not_frozen:rrt_adapted:development_adapter|method_not_formal_eligible:rrt_adapted|method_not_frozen:sstg:frozen_from_procedural_benchmark_for_development|world_not_test_split:dev_office_01:development|world_not_formal_eligible:dev_office_01|source_paths_dirty,5bc6a676811540426fbde682bd772e63ad9c3a81508e7226d09011fac90409b8,f2a92c4f4f87106b7c05aa0d7257f2dc1f444dd0893f066b240131c3f75e0ddf,1e84f9cb4637b2a85b67b86b0f6a7cd9c0a50942434681337bb19cfd86087d0d,fc91f9237e622c8efc9ac8503a6f1f18ee03725a3141b4e72d5c4934c2455439,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,ee5fe0fae8a151dd588e167578ca02c1a5d827d993f51dd86554a665842b10b3,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,3de216117d20f18304a5ca5f2355a18d0105e04da982ca31ccb282855366eafc
sstg_system_sim_run_schedule/v2,gazebo_unknown_completion_office_v12_20260802,gazebo_unknown_completion_office_v12_20260802__dev_office_01__start_southwest__nominal__seed_311__order_05__nbv,gazebo_unknown_completion_office_v12_20260802__dev_office_01__start_southwest__nominal__seed_311,1,5,gazebo_harmonic,dev_office_01,multi_room_office,development,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01/world.sdf,dev_office_01,start_southwest,-6.5,-4.5,0,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01/evaluation/truth_map.yaml,dev_office_01:start_southwest:inverse_spawn_pose,6.5,4.5,0,nbv,sstg_policy,nbv,joint,1.5,0.59999999999999998,nominal,311,20260802,1800,300,80,180,system_sim_outputs/unknown_completion/runs/gazebo_unknown_completion_office_v12_20260802/gazebo_unknown_completion_office_v12_20260802__dev_office_01__start_southwest__nominal__seed_311__order_05__nbv,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:ans_adapted:unknown_completion_development_adapter|method_not_formal_eligible:ans_adapted|method_not_frozen:frontier:development_adapter|method_not_formal_eligible:frontier|method_not_frozen:nbv:development_adapter|method_not_formal_eligible:nbv|method_not_frozen:rrt_adapted:development_adapter|method_not_formal_eligible:rrt_adapted|method_not_frozen:sstg:frozen_from_procedural_benchmark_for_development|world_not_test_split:dev_office_01:development|world_not_formal_eligible:dev_office_01|source_paths_dirty,5bc6a676811540426fbde682bd772e63ad9c3a81508e7226d09011fac90409b8,f2a92c4f4f87106b7c05aa0d7257f2dc1f444dd0893f066b240131c3f75e0ddf,1e84f9cb4637b2a85b67b86b0f6a7cd9c0a50942434681337bb19cfd86087d0d,8e5082b22263d1fccd3f871f5be87361e91b2d47da172f574da61e4272482121,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,ee5fe0fae8a151dd588e167578ca02c1a5d827d993f51dd86554a665842b10b3,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,f20d5b48d543250bba861f7547b50abe774cc91d611b0fd89b2290568e8acf38
