schema,study_id,schedule_id,block_id,block_index,order_position,backend,world_id,site_family,world_split,world_bundle,world_sdf,world_name,start_id,start_x_m,start_y_m,start_yaw_rad,truth_map_yaml,truth_registration_id,truth_to_map_x_m,truth_to_map_y_m,truth_to_map_yaw_rad,method,runtime_adapter,strategy,coverage_objective,clearance_weight,travel_cost_weight,condition,replicate_seed,randomization_seed,max_duration_s,max_distance_m,max_decisions,goal_timeout_s,run_output_dir,evidence_tier,formal_result_eligible,eligibility_reasons,source_tree_sha256,world_bundle_sha256,world_sdf_sha256,method_config_sha256,condition_config_sha256,shared_stack_sha256,world_registry_sha256,run_config_sha256
sstg_system_sim_run_schedule/v2,gazebo_unknown_completion_next_stage_recovery_v16_20260803,gazebo_unknown_completion_next_stage_recovery_v16_20260803__dev_corridor_01__start_west__nominal__seed_331__order_01__ans_adapted,gazebo_unknown_completion_next_stage_recovery_v16_20260803__dev_corridor_01__start_west__nominal__seed_331,1,1,gazebo_harmonic,dev_corridor_01,corridor_alcoves,development,ros2_ws/src/sstg_gazebo/worlds/development/corridor_alcoves/dev_corridor_01,ros2_ws/src/sstg_gazebo/worlds/development/corridor_alcoves/dev_corridor_01/world.sdf,dev_corridor_01,start_west,-6.5,0,0,ros2_ws/src/sstg_gazebo/worlds/development/corridor_alcoves/dev_corridor_01/evaluation/truth_map.yaml,dev_corridor_01:start_west:inverse_spawn_pose,6.5,0,0,ans_adapted,sstg_policy,ans,joint,1.5,0.59999999999999998,nominal,331,20260803,1800,300,80,180,system_sim_outputs/unknown_completion/next_stage/gazebo_unknown_completion_next_stage_recovery_v16_20260803/gazebo_unknown_completion_next_stage_recovery_v16_20260803__dev_corridor_01__start_west__nominal__seed_331__order_01__ans_adapted,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:ans_adapted:unknown_completion_development_adapter|method_not_formal_eligible:ans_adapted|method_not_frozen:rrt_adapted:development_adapter|method_not_formal_eligible:rrt_adapted|world_not_test_split:dev_corridor_01:development|world_not_formal_eligible:dev_corridor_01|world_not_test_split:dev_lab_01:development|world_not_formal_eligible:dev_lab_01,798380c353b64a2303ae7df81f75d09abc06dc582a16d07312e4fc4dbbe86aa5,96bda98118d55b9649f672fe459d4ee7723a158b68536502661708aec3cd122c,ab62d145858292df9e0ab87b585c055704b358180c07fe43d59328579606876b,c7fc068d175524c76fd8995cb3e804de927c377eb7a1b971a858fb9d54322dce,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,ee5fe0fae8a151dd588e167578ca02c1a5d827d993f51dd86554a665842b10b3,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,6b38257024bd831a668c511a90cbd16961b2dd207f55f5f79fd192a00a411d55
sstg_system_sim_run_schedule/v2,gazebo_unknown_completion_next_stage_recovery_v16_20260803,gazebo_unknown_completion_next_stage_recovery_v16_20260803__dev_corridor_01__start_west__nominal__seed_331__order_02__rrt_adapted,gazebo_unknown_completion_next_stage_recovery_v16_20260803__dev_corridor_01__start_west__nominal__seed_331,1,2,gazebo_harmonic,dev_corridor_01,corridor_alcoves,development,ros2_ws/src/sstg_gazebo/worlds/development/corridor_alcoves/dev_corridor_01,ros2_ws/src/sstg_gazebo/worlds/development/corridor_alcoves/dev_corridor_01/world.sdf,dev_corridor_01,start_west,-6.5,0,0,ros2_ws/src/sstg_gazebo/worlds/development/corridor_alcoves/dev_corridor_01/evaluation/truth_map.yaml,dev_corridor_01:start_west:inverse_spawn_pose,6.5,0,0,rrt_adapted,sstg_policy,rrt,joint,1.5,0.59999999999999998,nominal,331,20260803,1800,300,80,180,system_sim_outputs/unknown_completion/next_stage/gazebo_unknown_completion_next_stage_recovery_v16_20260803/gazebo_unknown_completion_next_stage_recovery_v16_20260803__dev_corridor_01__start_west__nominal__seed_331__order_02__rrt_adapted,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:ans_adapted:unknown_completion_development_adapter|method_not_formal_eligible:ans_adapted|method_not_frozen:rrt_adapted:development_adapter|method_not_formal_eligible:rrt_adapted|world_not_test_split:dev_corridor_01:development|world_not_formal_eligible:dev_corridor_01|world_not_test_split:dev_lab_01:development|world_not_formal_eligible:dev_lab_01,798380c353b64a2303ae7df81f75d09abc06dc582a16d07312e4fc4dbbe86aa5,96bda98118d55b9649f672fe459d4ee7723a158b68536502661708aec3cd122c,ab62d145858292df9e0ab87b585c055704b358180c07fe43d59328579606876b,fc688ed00e2f400111b78bccd9e51522eda43264fa539d2c0d8d490c1300e761,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,ee5fe0fae8a151dd588e167578ca02c1a5d827d993f51dd86554a665842b10b3,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,dcb2103f620e25f7604cf220c14e721a04c153d6c6ec23f5412c2550bd7e1a0b
sstg_system_sim_run_schedule/v2,gazebo_unknown_completion_next_stage_recovery_v16_20260803,gazebo_unknown_completion_next_stage_recovery_v16_20260803__dev_lab_01__start_southwest__nominal__seed_331__order_01__rrt_adapted,gazebo_unknown_completion_next_stage_recovery_v16_20260803__dev_lab_01__start_southwest__nominal__seed_331,2,1,gazebo_harmonic,dev_lab_01,dense_laboratory,development,ros2_ws/src/sstg_gazebo/worlds/development/dense_laboratory/dev_lab_01,ros2_ws/src/sstg_gazebo/worlds/development/dense_laboratory/dev_lab_01/world.sdf,dev_lab_01,start_southwest,-6.5,-4.7999999999999998,0,ros2_ws/src/sstg_gazebo/worlds/development/dense_laboratory/dev_lab_01/evaluation/truth_map.yaml,dev_lab_01:start_southwest:inverse_spawn_pose,6.5,4.7999999999999998,0,rrt_adapted,sstg_policy,rrt,joint,1.5,0.59999999999999998,nominal,331,20260803,1800,300,80,180,system_sim_outputs/unknown_completion/next_stage/gazebo_unknown_completion_next_stage_recovery_v16_20260803/gazebo_unknown_completion_next_stage_recovery_v16_20260803__dev_lab_01__start_southwest__nominal__seed_331__order_01__rrt_adapted,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:ans_adapted:unknown_completion_development_adapter|method_not_formal_eligible:ans_adapted|method_not_frozen:rrt_adapted:development_adapter|method_not_formal_eligible:rrt_adapted|world_not_test_split:dev_corridor_01:development|world_not_formal_eligible:dev_corridor_01|world_not_test_split:dev_lab_01:development|world_not_formal_eligible:dev_lab_01,798380c353b64a2303ae7df81f75d09abc06dc582a16d07312e4fc4dbbe86aa5,b78b3e1757bff38d2831cc0fe7a5da4fba88055a12635e317ac65785e592fbf5,8fecea2f50a24c1e458ebefe405abfa0a665ab24469c18915bdb2d174a6471d6,fc688ed00e2f400111b78bccd9e51522eda43264fa539d2c0d8d490c1300e761,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,ee5fe0fae8a151dd588e167578ca02c1a5d827d993f51dd86554a665842b10b3,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,69f6d3ea1975094a0cae03a88968d7b2d0e1685a2d2d53ba0dd6488b6a347b46
sstg_system_sim_run_schedule/v2,gazebo_unknown_completion_next_stage_recovery_v16_20260803,gazebo_unknown_completion_next_stage_recovery_v16_20260803__dev_lab_01__start_southwest__nominal__seed_331__order_02__ans_adapted,gazebo_unknown_completion_next_stage_recovery_v16_20260803__dev_lab_01__start_southwest__nominal__seed_331,2,2,gazebo_harmonic,dev_lab_01,dense_laboratory,development,ros2_ws/src/sstg_gazebo/worlds/development/dense_laboratory/dev_lab_01,ros2_ws/src/sstg_gazebo/worlds/development/dense_laboratory/dev_lab_01/world.sdf,dev_lab_01,start_southwest,-6.5,-4.7999999999999998,0,ros2_ws/src/sstg_gazebo/worlds/development/dense_laboratory/dev_lab_01/evaluation/truth_map.yaml,dev_lab_01:start_southwest:inverse_spawn_pose,6.5,4.7999999999999998,0,ans_adapted,sstg_policy,ans,joint,1.5,0.59999999999999998,nominal,331,20260803,1800,300,80,180,system_sim_outputs/unknown_completion/next_stage/gazebo_unknown_completion_next_stage_recovery_v16_20260803/gazebo_unknown_completion_next_stage_recovery_v16_20260803__dev_lab_01__start_southwest__nominal__seed_331__order_02__ans_adapted,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:ans_adapted:unknown_completion_development_adapter|method_not_formal_eligible:ans_adapted|method_not_frozen:rrt_adapted:development_adapter|method_not_formal_eligible:rrt_adapted|world_not_test_split:dev_corridor_01:development|world_not_formal_eligible:dev_corridor_01|world_not_test_split:dev_lab_01:development|world_not_formal_eligible:dev_lab_01,798380c353b64a2303ae7df81f75d09abc06dc582a16d07312e4fc4dbbe86aa5,b78b3e1757bff38d2831cc0fe7a5da4fba88055a12635e317ac65785e592fbf5,8fecea2f50a24c1e458ebefe405abfa0a665ab24469c18915bdb2d174a6471d6,c7fc068d175524c76fd8995cb3e804de927c377eb7a1b971a858fb9d54322dce,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,ee5fe0fae8a151dd588e167578ca02c1a5d827d993f51dd86554a665842b10b3,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,94a66cb4cec80c0fe22dae3fad3e20df2d09ec96b70edbb1dfc8b4ab3b7457c0
