schema,study_id,schedule_id,block_id,block_index,order_position,backend,world_id,site_family,world_split,world_bundle,world_sdf,world_name,start_id,start_x_m,start_y_m,start_yaw_rad,truth_map_yaml,truth_registration_id,truth_to_map_x_m,truth_to_map_y_m,truth_to_map_yaw_rad,method,strategy,coverage_objective,condition,replicate_seed,randomization_seed,max_duration_s,max_distance_m,max_decisions,goal_timeout_s,run_output_dir,evidence_tier,formal_result_eligible,eligibility_reasons,source_tree_sha256,world_bundle_sha256,world_sdf_sha256,method_config_sha256,condition_config_sha256,shared_stack_sha256,world_registry_sha256,run_config_sha256
sstg_system_sim_run_schedule/v2,gazebo_stage1_four_family_pilot_20260801,gazebo_stage1_four_family_pilot_20260801__dev_corridor_01__start_west__nominal__seed_211__order_01__sstg,gazebo_stage1_four_family_pilot_20260801__dev_corridor_01__start_west__nominal__seed_211,1,1,gazebo_harmonic,dev_corridor_01,corridor_alcoves,development,ros2_ws/src/sstg_gazebo/worlds/development/corridor_alcoves/dev_corridor_01,ros2_ws/src/sstg_gazebo/worlds/development/corridor_alcoves/dev_corridor_01/world.sdf,dev_corridor_01,start_west,-6.5,0,0,ros2_ws/src/sstg_gazebo/worlds/development/corridor_alcoves/dev_corridor_01/evaluation/truth_map.yaml,dev_corridor_01:start_west:inverse_spawn_pose,6.5,0,0,sstg,sstg,joint,nominal,211,977,300,60,10,90,system_sim_outputs/runs/gazebo_stage1_four_family_pilot_20260801/gazebo_stage1_four_family_pilot_20260801__dev_corridor_01__start_west__nominal__seed_211__order_01__sstg,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:sstg:frozen_from_procedural_benchmark_for_development|world_not_test_split:dev_corridor_01:development|world_not_formal_eligible:dev_corridor_01|world_not_test_split:dev_lab_01:development|world_not_formal_eligible:dev_lab_01|world_not_test_split:dev_office_01:development|world_not_formal_eligible:dev_office_01|world_not_test_split:dev_warehouse_01:development|world_not_formal_eligible:dev_warehouse_01,faf3f20d14b4195f79bdb148dd9ac59091ee12e9cd27e6a4f5ead9f39ed7cfaa,96bda98118d55b9649f672fe459d4ee7723a158b68536502661708aec3cd122c,ab62d145858292df9e0ab87b585c055704b358180c07fe43d59328579606876b,25c5c3016bacf3a012c0daac4c81ca717f15978f2437f6291cfba9fdc012a3d7,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,2af4edfb5978c13b4224338537f0d4120c284410a15ba407e2cbf4da5ff2d8f7,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,e7c91b3aef0145c5625987796c7eab3768d9114db446dd732b4a5222fba5d172
sstg_system_sim_run_schedule/v2,gazebo_stage1_four_family_pilot_20260801,gazebo_stage1_four_family_pilot_20260801__dev_lab_01__start_southwest__nominal__seed_211__order_01__sstg,gazebo_stage1_four_family_pilot_20260801__dev_lab_01__start_southwest__nominal__seed_211,2,1,gazebo_harmonic,dev_lab_01,dense_laboratory,development,ros2_ws/src/sstg_gazebo/worlds/development/dense_laboratory/dev_lab_01,ros2_ws/src/sstg_gazebo/worlds/development/dense_laboratory/dev_lab_01/world.sdf,dev_lab_01,start_southwest,-6.5,-4.7999999999999998,0,ros2_ws/src/sstg_gazebo/worlds/development/dense_laboratory/dev_lab_01/evaluation/truth_map.yaml,dev_lab_01:start_southwest:inverse_spawn_pose,6.5,4.7999999999999998,0,sstg,sstg,joint,nominal,211,977,300,60,10,90,system_sim_outputs/runs/gazebo_stage1_four_family_pilot_20260801/gazebo_stage1_four_family_pilot_20260801__dev_lab_01__start_southwest__nominal__seed_211__order_01__sstg,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:sstg:frozen_from_procedural_benchmark_for_development|world_not_test_split:dev_corridor_01:development|world_not_formal_eligible:dev_corridor_01|world_not_test_split:dev_lab_01:development|world_not_formal_eligible:dev_lab_01|world_not_test_split:dev_office_01:development|world_not_formal_eligible:dev_office_01|world_not_test_split:dev_warehouse_01:development|world_not_formal_eligible:dev_warehouse_01,faf3f20d14b4195f79bdb148dd9ac59091ee12e9cd27e6a4f5ead9f39ed7cfaa,b78b3e1757bff38d2831cc0fe7a5da4fba88055a12635e317ac65785e592fbf5,8fecea2f50a24c1e458ebefe405abfa0a665ab24469c18915bdb2d174a6471d6,25c5c3016bacf3a012c0daac4c81ca717f15978f2437f6291cfba9fdc012a3d7,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,2af4edfb5978c13b4224338537f0d4120c284410a15ba407e2cbf4da5ff2d8f7,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,3e4be3e072aeb2741fb41b901b7aff781842e4fb92ad5b9cc20472b3085bc7cd
sstg_system_sim_run_schedule/v2,gazebo_stage1_four_family_pilot_20260801,gazebo_stage1_four_family_pilot_20260801__dev_office_01__start_southwest__nominal__seed_211__order_01__sstg,gazebo_stage1_four_family_pilot_20260801__dev_office_01__start_southwest__nominal__seed_211,3,1,gazebo_harmonic,dev_office_01,multi_room_office,development,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01/world.sdf,dev_office_01,start_southwest,-6.5,-4.5,0,ros2_ws/src/sstg_gazebo/worlds/development/multi_room_office/dev_office_01/evaluation/truth_map.yaml,dev_office_01:start_southwest:inverse_spawn_pose,6.5,4.5,0,sstg,sstg,joint,nominal,211,977,300,60,10,90,system_sim_outputs/runs/gazebo_stage1_four_family_pilot_20260801/gazebo_stage1_four_family_pilot_20260801__dev_office_01__start_southwest__nominal__seed_211__order_01__sstg,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:sstg:frozen_from_procedural_benchmark_for_development|world_not_test_split:dev_corridor_01:development|world_not_formal_eligible:dev_corridor_01|world_not_test_split:dev_lab_01:development|world_not_formal_eligible:dev_lab_01|world_not_test_split:dev_office_01:development|world_not_formal_eligible:dev_office_01|world_not_test_split:dev_warehouse_01:development|world_not_formal_eligible:dev_warehouse_01,faf3f20d14b4195f79bdb148dd9ac59091ee12e9cd27e6a4f5ead9f39ed7cfaa,f2a92c4f4f87106b7c05aa0d7257f2dc1f444dd0893f066b240131c3f75e0ddf,1e84f9cb4637b2a85b67b86b0f6a7cd9c0a50942434681337bb19cfd86087d0d,25c5c3016bacf3a012c0daac4c81ca717f15978f2437f6291cfba9fdc012a3d7,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,2af4edfb5978c13b4224338537f0d4120c284410a15ba407e2cbf4da5ff2d8f7,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,e08f616eb9de884c1af95ca70dc42a926b1d13293d81ab9adc7394859e0a12f9
sstg_system_sim_run_schedule/v2,gazebo_stage1_four_family_pilot_20260801,gazebo_stage1_four_family_pilot_20260801__dev_warehouse_01__start_southwest__nominal__seed_211__order_01__sstg,gazebo_stage1_four_family_pilot_20260801__dev_warehouse_01__start_southwest__nominal__seed_211,4,1,gazebo_harmonic,dev_warehouse_01,warehouse_aisles,development,ros2_ws/src/sstg_gazebo/worlds/development/warehouse_aisles/dev_warehouse_01,ros2_ws/src/sstg_gazebo/worlds/development/warehouse_aisles/dev_warehouse_01/world.sdf,dev_warehouse_01,start_southwest,-6.5999999999999996,-5,1.5707963267948966,ros2_ws/src/sstg_gazebo/worlds/development/warehouse_aisles/dev_warehouse_01/evaluation/truth_map.yaml,dev_warehouse_01:start_southwest:inverse_spawn_pose,5,-6.5999999999999996,-1.5707963267948966,sstg,sstg,joint,nominal,211,977,300,60,10,90,system_sim_outputs/runs/gazebo_stage1_four_family_pilot_20260801/gazebo_stage1_four_family_pilot_20260801__dev_warehouse_01__start_southwest__nominal__seed_211__order_01__sstg,development,false,evidence_tier_is_development|shared_stack_not_frozen:development|condition_not_frozen:development|method_not_frozen:sstg:frozen_from_procedural_benchmark_for_development|world_not_test_split:dev_corridor_01:development|world_not_formal_eligible:dev_corridor_01|world_not_test_split:dev_lab_01:development|world_not_formal_eligible:dev_lab_01|world_not_test_split:dev_office_01:development|world_not_formal_eligible:dev_office_01|world_not_test_split:dev_warehouse_01:development|world_not_formal_eligible:dev_warehouse_01,faf3f20d14b4195f79bdb148dd9ac59091ee12e9cd27e6a4f5ead9f39ed7cfaa,ac6d1866ada12cdda14abaf7520ba359651f1b9201363e6914bc1d7c5f56c5e5,33fb04ac0f1338136638e06d935f183e6dfca9191ce5e3ea79ec3cc0678798bb,25c5c3016bacf3a012c0daac4c81ca717f15978f2437f6291cfba9fdc012a3d7,6cbb040a8ee64636241718690d66d4e4e7fcec5ec3f384a030ea3d66339d6c2e,2af4edfb5978c13b4224338537f0d4120c284410a15ba407e2cbf4da5ff2d8f7,d4e3109a228ce52b6b834e863eecdffe058c60eb2f664eda0c3384ca866795eb,c361b3fae331e483a9d2f401245b3333a40bb8f8895f35006705d39dd4b96b48
